n_trial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.6049,0.346,0.6925,2.035,3.0492,0.4987,2.0411,0.186,0.277,0.3262,1.0871,1.1012,1.1761,0.277,0.4326,3.8021,0.6925,1.3481,3.0492,1.6541,1.1291,0.6925,0.6925,0.3262,2.8081,5.4276,0.3584,0.0191,0.0004,0.0004,2.1442,2.0049,4.5608,1.0375,0.0809,0.3584,0.3376,3.0492,1.0335,0.6925,0.186,3.0492,1.5151,4.3441,0.2717,0.6925,0.9182,0.3262,0.186,0.4322
1,0.4322,0.346,0.6925,1.0375,0.8299,0.3584,1.7382,0.186,0.277,0.3262,1.0871,0.5394,0.4805,0.277,0.4326,3.8021,0.6925,0.0333,0.6869,0.9182,1.1291,0.6197,0.186,0.3262,0.3584,2.1666,0.3584,0.0191,0.0004,0.0004,1.4132,0.6925,0.6925,0.6925,0.0809,0.3262,0.3376,1.2601,1.0335,0.186,0.186,0.8889,0.5394,1.5265,0.2717,0.6925,0.3376,0.3262,0.186,0.4322
2,0.0191,0.346,0.6925,0.7059,0.8299,0.3584,1.7382,0.186,0.277,0.3262,1.0871,0.5394,0.4805,0.277,0.4326,0.3689,0.5394,0.0333,0.0951,0.4805,1.1291,0.2185,0.186,0.3262,0.3262,0.6925,0.3584,0.0191,0.0004,0.0004,1.4132,0.6469,0.5396,0.3584,0.0809,0.3262,0.3376,0.209,1.0335,0.186,0.186,0.1561,0.5394,1.5265,0.2717,0.6925,0.3262,0.3262,0.1325,0.4322
3,0.0191,0.346,0.1746,0.6503,0.8299,0.277,0.5394,0.186,0.277,0.03,0.5394,0.2429,0.4805,0.277,0.4326,0.3689,0.5394,0.0333,0.0951,0.4386,0.7793,0.0115,0.0687,0.1961,0.3262,0.6925,0.3584,0.0191,0.0004,0.0004,0.0191,0.6469,0.5396,0.3584,0.0809,0.1746,0.3376,0.209,1.0335,0.186,0.186,0.1561,0.5394,1.5265,0.2717,0.4222,0.3262,0.3262,0.1325,0.4322
4,0.0191,0.346,0.0115,0.6503,0.5396,0.277,0.5394,0.186,0.0948,0.03,0.3689,0.2429,0.4805,0.277,0.4326,0.3689,0.1386,0.0106,0.0951,0.4386,0.6427,0.0115,0.0687,0.1961,0.1961,0.6925,0.3584,0.0191,0.0004,0.0004,0.0191,0.6469,0.5396,0.3584,0.0809,0.1746,0.0933,0.0157,0.2067,0.186,0.186,0.1561,0.5394,1.5265,0.2717,0.4222,0.3262,0.2732,0.1325,0.4322
5,0.0191,0.1149,0.0115,0.6503,0.1872,0.1386,0.2429,0.186,0.0948,0.03,0.3689,0.2429,0.3689,0.2248,0.1187,0.3689,0.1386,0.0106,0.0951,0.4386,0.6427,0.0115,0.0687,0.1961,0.1961,0.4964,0.3584,0.0191,0.0004,0.0004,0.0191,0.1187,0.5396,0.3584,0.0809,0.1746,0.0933,0.0157,0.2067,0.186,0.186,0.1561,0.4918,0.9045,0.2717,0.4222,0.3262,0.2732,0.1325,0.4322
6,0.0191,0.0945,0.0115,0.6503,0.1872,0.0519,0.2429,0.186,0.087,0.03,0.3689,0.2429,0.3689,0.2248,0.1187,0.3689,0.1386,0.0106,0.0951,0.4386,0.6427,0.0115,0.0687,0.1961,0.1961,0.4964,0.3584,0.0191,0.0004,0.0004,0.0191,0.1187,0.5396,0.0536,0.0809,0.1746,0.0933,0.0157,0.2067,0.186,0.047,0.1561,0.4918,0.9045,0.2717,0.4222,0.3262,0.2732,0.1325,0.3518
7,0.0191,0.0945,0.0115,0.6503,0.1872,0.0519,0.2429,0.0871,0.087,0.03,0.3689,0.2429,0.1891,0.2067,0.1187,0.3045,0.1386,0.0106,0.0951,0.4386,0.0789,0.0115,0.0155,0.1891,0.1961,0.4964,0.0601,0.0191,0.0004,0.0004,0.0191,0.1187,0.5396,0.0536,0.0809,0.1746,0.0933,0.0157,0.2067,0.186,0.047,0.1561,0.4918,0.7805,0.2717,0.4222,0.3262,0.2732,0.0193,0.3518
8,0.0191,0.0945,0.0115,0.6503,0.1872,0.0519,0.2429,0.0871,0.087,0.03,0.3689,0.2429,0.1891,0.2067,0.1187,0.3045,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.1961,0.1746,0.0601,0.0191,0.0004,0.0004,0.0191,0.1187,0.5396,0.0536,0.0809,0.1746,0.0933,0.0157,0.1671,0.1746,0.047,0.1561,0.4918,0.7805,0.2717,0.0519,0.3262,0.2732,0.0193,0.3518
9,0.0191,0.0945,0.0115,0.6503,0.1872,0.0519,0.0939,0.0871,0.087,0.0157,0.3689,0.2429,0.1891,0.2067,0.1187,0.3045,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.1961,0.1746,0.0601,0.0191,0.0004,0.0004,0.0191,0.1187,0.3045,0.0536,0.0809,0.1746,0.0933,0.0157,0.1671,0.1746,0.047,0.1561,0.0519,0.7805,0.2717,0.0519,0.0157,0.2717,0.0193,0.3518
10,0.0191,0.0945,0.0115,0.1386,0.1872,0.0519,0.0939,0.0871,0.087,0.0157,0.3689,0.087,0.1891,0.2067,0.1187,0.2248,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.1961,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.1187,0.3045,0.0536,0.0809,0.1746,0.0933,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.7805,0.2717,0.0519,0.0157,0.2717,0.0193,0.3518
11,0.0191,0.0945,0.0115,0.1386,0.1872,0.0519,0.0939,0.0871,0.087,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.2248,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.1961,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.1187,0.2945,0.0536,0.0809,0.1746,0.0933,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.5325,0.2717,0.0519,0.0157,0.0759,0.0193,0.3518
12,0.0191,0.0945,0.0115,0.1386,0.1872,0.0519,0.0939,0.0871,0.087,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.2248,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.1961,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.155,0.0536,0.0809,0.1746,0.066,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.3518
13,0.0191,0.0945,0.0115,0.1386,0.1872,0.0519,0.0248,0.0871,0.087,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.2248,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.1396,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.155,0.0536,0.0809,0.1595,0.066,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
14,0.0191,0.0945,0.0115,0.0866,0.1872,0.0519,0.0248,0.0871,0.087,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.2248,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.1396,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0536,0.0809,0.1595,0.0115,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
15,0.0191,0.0945,0.0115,0.0866,0.1872,0.0519,0.0248,0.0871,0.087,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.0115,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0536,0.0115,0.1595,0.0115,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
16,0.0191,0.0945,0.0115,0.0866,0.1872,0.0519,0.0248,0.0871,0.0519,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.0115,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
17,0.0191,0.0945,0.0115,0.0866,0.1872,0.0519,0.0248,0.0871,0.0519,0.0157,0.3689,0.0869,0.0193,0.1891,0.1187,0.0115,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
18,0.0191,0.0945,0.0115,0.0866,0.0248,0.0519,0.0248,0.0871,0.0519,0.0157,0.3689,0.0869,0.0193,0.1891,0.1187,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.1891,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
19,0.0191,0.0945,0.0115,0.0866,0.0248,0.0519,0.0248,0.0871,0.0519,0.0157,0.3689,0.0869,0.0193,0.1891,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.1891,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.1562,0.1669,0.0519,0.0157,0.0134,0.0193,0.1578
20,0.0191,0.0945,0.0115,0.0866,0.0248,0.0519,0.0248,0.0871,0.0519,0.0157,0.1562,0.0869,0.0193,0.1891,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.1187,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1669,0.0519,0.0157,0.0134,0.0193,0.0745
21,0.0191,0.0945,0.0115,0.0866,0.0248,0.0519,0.0248,0.0871,0.0519,0.0157,0.1562,0.0869,0.0193,0.1891,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1187,0.0519,0.0157,0.0134,0.0193,0.0745
22,0.0191,0.0945,0.0115,0.0519,0.0248,0.0519,0.0248,0.0871,0.0519,0.0157,0.1562,0.0869,0.0193,0.1891,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1187,0.0519,0.0157,0.0134,0.0193,0.0745
23,0.0191,0.0945,0.0115,0.0519,0.0248,0.0519,0.0248,0.03,0.0519,0.0157,0.1562,0.0869,0.0157,0.1891,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1187,0.0519,0.0157,0.0134,0.0193,0.0745
24,0.0191,0.0945,0.0115,0.0519,0.0248,0.0519,0.0157,0.03,0.0519,0.0157,0.1174,0.0869,0.0157,0.1872,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1187,0.0519,0.0157,0.0134,0.0193,0.0745
25,0.0191,0.0945,0.0115,0.0519,0.0248,0.0519,0.0157,0.0139,0.0519,0.0157,0.1174,0.0869,0.0157,0.1872,0.0311,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1187,0.0155,0.0157,0.0134,0.0193,0.0745
26,0.0155,0.0945,0.0115,0.0519,0.0248,0.0519,0.0157,0.0139,0.0519,0.0157,0.1174,0.0869,0.0157,0.1872,0.0311,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.0193,0.047,0.1325,0.0139,0.0519,0.1187,0.0155,0.0157,0.0134,0.0193,0.0745
27,0.0155,0.0945,0.0115,0.0519,0.0248,0.0519,0.0157,0.0139,0.0519,0.0157,0.1174,0.0191,0.0157,0.1872,0.0311,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.0115,0.0115,0.0157,0.0809,0.0193,0.047,0.1325,0.0139,0.0519,0.1187,0.0155,0.0157,0.0134,0.0193,0.0745
28,0.0155,0.0866,0.0115,0.0519,0.0248,0.0519,0.0157,0.0139,0.0519,0.0157,0.1174,0.0191,0.0157,0.1872,0.0311,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.0115,0.0115,0.0157,0.0809,0.0193,0.047,0.1325,0.0139,0.0519,0.1187,0.0155,0.0157,0.0134,0.0193,0.0745
29,0.0155,0.0866,0.0115,0.0519,0.0248,0.0519,0.0157,0.0139,0.0519,0.0157,0.0193,0.0191,0.0157,0.1872,0.0311,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0536,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.0115,0.0115,0.0157,0.0809,0.0193,0.047,0.1325,0.0139,0.0519,0.1187,0.0155,0.0157,0.0134,0.0193,0.0745