n_trial,layman1,expert1,expert2,layman2,expert3,expert4,layman3,expert5,layman4,expert6
0,0.5097,1.576,2.9981,0.0348,0.0348,0.4612,0.1525,2.1652,1.9078,1.1643
1,0.5097,1.576,1.929,0.0348,0.0348,0.4612,0.1525,0.5097,1.9078,1.1643
2,0.5097,1.576,1.929,0.0348,0.0348,0.4612,0.1525,0.5097,0.1594,0.9684
3,0.5097,1.576,1.9278,0.0348,0.0348,0.4612,0.1525,0.5097,0.1594,0.9684
4,0.5097,0.6484,1.9278,0.0348,0.0348,0.4612,0.1525,0.5097,0.1594,0.9684
5,0.5097,0.6484,1.9278,0.0348,0.0348,0.4612,0.1525,0.5097,0.1594,0.9684
6,0.5097,0.6484,0.399,0.0348,0.0348,0.4612,0.1525,0.5097,0.1594,0.9684
7,0.5097,0.1386,0.399,0.0348,0.0348,0.4612,0.1525,0.5097,0.1594,0.9684
8,0.5097,0.1386,0.399,0.0348,0.0348,0.4612,0.1525,0.5097,0.1594,0.9684
9,0.5097,0.1386,0.399,0.0348,0.0348,0.4612,0.1525,0.4663,0.1594,0.9684
10,0.5097,0.0536,0.399,0.0348,0.0348,0.4612,0.1525,0.4663,0.1594,0.9684
11,0.5097,0.0536,0.399,0.0348,0.0348,0.4612,0.1525,0.4663,0.1594,0.9684
12,0.5097,0.0536,0.399,0.0348,0.0348,0.1422,0.1525,0.4663,0.1594,0.9684
13,0.5097,0.0536,0.399,0.0348,0.0348,0.1422,0.1525,0.4663,0.1594,0.9684
14,0.5097,0.0536,0.399,0.0348,0.0348,0.1422,0.1525,0.4663,0.1594,0.9684
15,0.5097,0.0172,0.399,0.0348,0.0348,0.1422,0.1525,0.4663,0.1594,0.9684
16,0.5097,0.0172,0.399,0.0348,0.0348,0.008099383,0.0871,0.4663,0.1594,0.9684
17,0.5097,0.0172,0.399,0.0348,0.0348,0.008099383,0.0871,0.4663,0.1594,0.9684
18,0.5097,0.0172,0.399,0.0348,0.0348,0.008099383,0.0871,0.4663,0.1594,0.9684
19,0.5097,0.0172,0.0945,0.0348,0.0348,0.008099383,0.0871,0.4663,0.1594,0.9684
20,0.5097,0.0172,0.0004,0.0348,0.0348,0.008099383,0.0871,0.4663,0.1594,0.1409
21,0.5097,0.0172,0.0004,0.0348,0.0348,0.008099383,0.0871,0.4663,0.1594,0.1409
22,0.4439,0.0172,0.0004,0.0348,0.0348,0.008099383,0.0871,0.4663,0.1594,0.1409
23,0.4439,0.0172,0.0004,0.0348,0.0348,0.008099383,0.0871,0.4663,0.1594,0.1409
24,0.4439,0.0172,0.0004,0.0348,0.0348,0.008099383,0.0871,0.0191,0.1594,0.1409
25,0.4439,0.0172,0.0004,0.0348,0.0348,0.008099383,0.0871,0.0191,0.1594,0.1409
26,0.4439,0.0172,0.0004,0.0348,0.0348,0.008099383,0.0871,0.0191,0.1594,0.1409
27,0.4439,0.0172,0.0004,0.0348,0.0348,0.008099383,0.0871,0.0191,0.1594,0.1409
28,0.4439,0.0172,0.0004,0.0348,0.0348,0.008099383,0.0601,0.0191,0.1594,0.1409
29,0.4439,0.0172,0.0004,0.0348,0.0348,0.008099383,0.0601,0.0191,0.1594,0.1409